"isin_cd","tck_iem_cd","fc_sec_krl_nm","fc_sec_eng_nm"
US76090R2004,RSLS        ,ReShape Lifescie                                            ,ReShape Lifescie                                            
US76119X1054,RSVR        ,Reservoir Media                                             ,Reservoir Media                                             
KYG0704V1032,RTC         ,Baijiayun Group                                             ,Baijiayun Group                                             
US02607T1097,RTL         ,Necessity Retail                                            ,Necessity Retail                                            
US02607T5056,RTLPO       ,NECESSITY RETAIL 7 375 SRS C PRF                            ,NECESSITY RETAIL 7 375 SRS C PRF                            
US02607T4067,RTLPP       ,NECESSITY RETAIL 7 50 SRS A PRF                             ,NECESSITY RETAIL 7 50 SRS A PRF                             
US78137L1052,RUM         ,Rumble                                                      ,Rumble                                                      
US86771W1053,RUN         ,선런                                                          ,Sunrun                                                      
US7818462092,RUSHA       ,러시 엔터프라이즈 Class-A                                           ,Rush Enterprise                                             
IE00BF2HDL56,RVLP        ,RVL Pharm                                                   ,RVL Pharm                                                   
US76155X1000,RVMD        ,Revolution                                                  ,Revolution                                                  
US76152G1004,RVPH        ,Tenzing Acq                                                 ,Reviva Pharms                                               
IL0011475949,RVSN        ,Rail Vision                                                 ,Rail Vision                                                 
US39366L2088,RVYL        ,Ryvyl                                                       ,Ryvyl                                                       
US78163D1000,RWAY        ,Runway Growth                                               ,Runway Growth                                               
US78163D3089,RWAYZ       ,RUNWAY GROWTH FINANCE 8 00 NTS                              ,RUNWAY GROWTH FINANCE 8 00 NTS                              
IL0011331076,RWLK        ,리워크 로보틱스                                                    ,Rewalk                                                      
US75629V1044,RXRX        ,Recursion Pharms                                            ,Recursion Pharms                                            
US78349D1072,RXST        ,Rxsight                                                     ,Rxsight                                                     
US7501021056,RXT         ,Rackspace Tech                                              ,Rackspace Tech                                              
US7835132033,RYAAY       ,라이언에어                                                       ,Ryanair Hldgs                                               
US76243J1051,RYTM        ,Rhythm Pharms                                               ,Rhythm Pharms                                               
US76200L3096,RZLT        ,Rezolute                                                    ,Rezolute                                                    
US78573M1045,SABR        ,세이버                                                         ,Sabre                                                       
US78397T1034,SABS        ,SAB US                                                      ,SAB US                                                      
US78648T1007,SAFT        ,세이프티 인슈어런스 그룹                                               ,Safety Insur                                                
US78667J1088,SAGE        ,세이지 세러퓨틱스                                                   ,SAGE                                                        
KYG7852T1031,SAI         ,SAI.TECH Global                                             ,SAI.TECH Global                                             
US78709Y1055,SAIA        ,사이아                                                         ,Saia                                                        
US7940931048,SALM        ,세일럼 미디어 그룹                                                  ,Salem Media Grp                                             
US7995661045,SANA        ,Sana Btech                                                  ,Sana Btech                                                  
US8010561020,SANM        ,산미나                                                         ,Sanmina                                                     
US8265985007,SASI        ,Sigma Additive                                              ,Sigma Additive                                              
US8003631038,SASR        ,샌디 스프링 뱅코프                                                  ,Sandy Spring                                                
VGG7823S1011,SATL        ,Satellogic                                                  ,Satellogic                                                  
US2787681061,SATS        ,에코스타                                                        ,EchoStar                                                    
US14817C1071,SAVA        ,Cassava Sciences                                            ,Cassava Sciences                                            
US78410G1040,SBAC        ,SBA 커뮤니케이션스                                                 ,SBA Commns                                                  
IL0010826191,SBET        ,Sharplink Gaming                                            ,Sharplink Gaming                                            
US8677814035,SBFM        ,Sunshine                                                    ,Sunshine                                                    
US8292421067,SBGI        ,Sinclair                                                    ,Sinclair                                                    
US85021Q1085,SBIG        ,Springbig                                                   ,Springbig                                                   
