"isin_cd","tck_iem_cd","fc_sec_krl_nm","fc_sec_eng_nm"
US1897631057,CODX        ,"Co-Diagnostics, Inc.                                        ",Co-Diagnostics                                              
US19207A1088,COEP        ,Coeptis                                                     ,Coeptis                                                     
US1703861062,COFS        ,Choiceone Finl                                              ,Choiceone Finl                                              
US19240Q2012,COGT        ,Cogent Bioscienc                                            ,Cogent Bioscienc                                            
US1925761066,COHU        ,코후                                                          ,Cohu                                                        
US19260Q1076,COIN        ,Coinbase Global                                             ,Coinbase Global                                             
US1910981026,COKE        ,코카콜라 콘솔리데이티드                                                ,Coca-Cola Consol                                            
US1972361026,COLB        ,컬럼비아 뱅킹 시스템                                                 ,Columbia Bkng                                               
US1985161066,COLM        ,컬럼비아 스포츠웨어                                                  ,Columbia Sptswr                                             
US20337X1090,COMM        ,콤스코프 홀딩                                                     ,CommScope Holdg                                             
US2056504010,COMS        ,COMSovereign                                                ,COMSovereign                                                
US2082421072,CONN        ,콘스                                                          ,Conns                                                       
US62482R1077,COOP        ,Mr Cooper Group                                             ,Mr Cooper Group                                             
US2183521028,CORT        ,Corcept                                                     ,Corcept                                                     
US2214133058,COSM        ,Cosmos Hlth                                                 ,Cosmos Hlth                                                 
US22160K1051,COST        ,코스트코 홀세일                                                    ,Costco Wholesale                                            
US22407B1089,COYA        ,Coya                                                        ,Coya                                                        
MHY110822068,CPLP        ,Cap Prdct Prtnrs                                            ,Cap Prdct Prtnrs                                            
KYG717001013,CPOP        ,Pop Culture Grp                                             ,Pop Culture Grp                                             
US2172041061,CPRT        ,코파트                                                         ,Copart                                                      
US14888U1016,CPRX        ,캐털리스트 파마수티컬스                                                ,Catalyst Pharms                                             
US12619F1049,CPSH        ,CPS 테크놀로지스                                                  ,CPS Tech                                                    
US2053061030,CPSI        ,컴퓨터 프로그램스 & 시스템스                                            ,CPSI                                                        
US2105021008,CPSS        ,컨수머 포트폴리오 서비시스                                              ,CPS                                                         
US15673X1019,CPTN        ,Cepton                                                      ,Cepton                                                      
US12618T1051,CRAI        ,CRA 인터내셔널                                                   ,CRA Intl                                                    
US21833P3010,CRBP        ,Corbus Pharms                                               ,Corbus Pharms                                               
US1420381089,CRBU        ,Caribou                                                     ,Caribou                                                     
US22658D1000,CRCT        ,Cricut                                                      ,Cricut                                                      
US14147L1089,CRDF        ,Cardiff Oncology                                            ,Cardiff Oncology                                            
CA14161Y2006,CRDL        ,Cardiol Therap                                              ,Cardiol Therap                                              
KYG254571055,CRDO        ,Credo Technology                                            ,Credo Technology                                            
US1689133098,CREG        ,Smart Powerr                                                ,Smart Powerr                                                
US2264061068,CRESY       ,크레수드                                                        ,Cresud                                                      
US22530J3095,CREX        ,CRI                                                         ,CRI                                                         
US1596101048,CRGE        ,Charge                                                      ,Charge                                                      
KYG514051013,CRGO        ,Freightos                                                   ,Freightos                                                   
US2312692005,CRIS        ,큐리스                                                         ,Curis                                                       
US2283393054,CRKN        ,Crown                                                       ,Crown                                                       
US21900C3088,CRMD        ,CorMedix                                                    ,CorMedix                                                    
US03062T1051,CRMT        ,아메리카스 카-마트                                                  ,America's                                                   
US1567271093,CRNC        ,Cerence                                                     ,Cerence                                                     
IL0010851660,CRNT        ,세라곤 네트웍스                                                    ,Ceragon Networks                                            
US22663K1079,CRNX        ,Crinetics Pharmaceuticals Inc                               ,Crinetics Pharms                                            
CA22717L1013,CRON        ,크로노스 그룹                                                     ,Cronos Group                                                
US2270461096,CROX        ,크록스                                                         ,Crocs                                                       
CH0334081137,CRSP        ,CRISPR 세러퓨틱스                                                ,Crispr Therapeut                                            
US22041X1028,CRSR        ,Corsair Gaming                                              ,Corsair Gaming                                              
US1727551004,CRUS        ,시러스 로직                                                      ,Cirrus Logic                                                
US2210061097,CRVL        ,코어벨                                                         ,CorVel                                                      
US15713L1098,CRVO        ,CervoMed                                                    ,CervoMed                                                    
US2210151005,CRVS        ,코버스 파마수티컬스                                                  ,Corvus Pharms                                               
US22788C1053,CRWD        ,Crowdstrike                                                 ,CrowdStrike Hldg                                            
US17275R1023,CSCO        ,시스코 시스템즈                                                    ,Cisco Systems                                               
US22160N1090,CSGP        ,CoStar Grp                                                  ,CoStar Grp                                                  
US1263491094,CSGS        ,CSG 시스템스 인터내셔널                                              ,CSG Systems Int                                             
CA1366351098,CSIQ        ,Canadian Solar                                              ,Canadian Solar                                              
US16842Q1004,CSSE        ,치킨 수프 포 더 소울 엔터테인먼트                                         ,Chicken Soup                                                
US16842Q2093,CSSEP       ,CHICKEN SOUP FOR SOUL(CSSE 9 3/4 PERP)                      ,CHICKEN 9 75 SRS A CUM RED PREP PRF                         
US14843C1053,CSTL        ,Castle                                                      ,Castle                                                      
US14070T1025,CSTR        ,"Capstar Financial Holdings, Inc.                            ",CapStar Fincl                                               
US1405011073,CSWC        ,캐피털 사우스웨스트                                                  ,CSWC                                                        
US1264021064,CSWI        ,CSW 인더스트리얼스                                                 ,CSW Industrials                                             
US1264081035,CSX         ,CSX                                                         ,CSX                                                         
US1729081059,CTAS        ,신타스                                                         ,Cintas                                                      
US2041491083,CTBI        ,커뮤니티 트러스트 뱅코프                                               ,Community Trust                                             
US98873Q1004,CTIB        ,CTI Industries                                              ,Yunhong CTI                                                 
US23285D1090,CTKB        ,Cytek                                                       ,Cytek                                                       
US1381031061,CTLP        ,Cantaloupe                                                  ,Cantaloupe                                                  
US23284F1057,CTMX        ,사이톰엑스 세러퓨틱스                                                 ,CytomX                                                      
MHY1146L1258,CTRM        ,Castor Maritime                                             ,Castor Maritime                                             
US17306X1028,CTRN        ,시티 트렌즈                                                      ,Citi Trends                                                 
US1924461023,CTSH        ,코그니전트 테크놀로지 솔루션                                             ,Cognizant Tech                                              
US23283X2062,CTSO        ,사이토소벤츠                                                      ,Cytosorbents                                                
US17322U2078,CTXR        ,시티우스 파마수티컬스                                                 ,Citius Pharms                                               
US22978P1066,CUE         ,"Cue Biopharma, Inc.                                         ",Cue Biopharma                                               
US2297943001,CUEN        ,Cuentas                                                     ,Cuentas                                                     
US23130Q1076,CURI        ,CuriosityStream                                             ,CuriosityStream                                             
US2321091082,CUTR        ,큐테라                                                         ,Cutera                                                      
NL0015436031,CVAC        ,CureVac                                                     ,Curevac                                                     
US1266001056,CVBF        ,CVB 파이낸셜                                                    ,CVB Financial                                               
US1495681074,CVCO        ,카브코 인더스트리스                                                  ,Cavco Industries                                            
US1282461052,CVGW        ,캘러보 그로워스                                                    ,Calavo Growers                                              
US2041661024,CVLT        ,컴볼트 시스템스                                                    ,CommVault                                                   
US1920251048,CVLY        ,코도러스 밸리 뱅코프                                                 ,Codorus Vy Banc                                             
US1266381052,CVRX        ,CVRx                                                        ,CVRx                                                        
US19249J3077,CWBR        ,CohBar                                                      ,CohBar                                                      
KYG237731073,CWCO        ,콘솔리데이티드 워터                                                  ,CWCO                                                        
US1474481041,CWST        ,카셀라 웨이스트 시스템스                                               ,Casella Waste                                               
US2265521078,CXDO        ,Crexendo                                                    ,Crexendo                                                    
US23254L6039,CYCC        ,Cyclacel Pharms                                             ,Cyclacel Pharms                                             
US23255M2044,CYCN        ,Cyclerion Therap                                            ,Cyclerion Therap                                            
US23257B1070,CYN         ,CYNGN                                                       ,CYNGN                                                       
US2290503075,CYRX        ,크라이오포트                                                      ,Cryoport                                                    
US23284P1030,CYT         ,Cyteir                                                      ,Cyteir                                                      
US23254X2018,CYTH        ,Cyclo                                                       ,Cyclo                                                       
BMG0360L2099,CYTO        ,Altamira                                                    ,Altamira                                                    
US1746151042,CZFS        ,Citizens Finance                                            ,Citizens Finance                                            
US1729221069,CZNC        ,시티즌스 & 노던                                                   ,Citizens & North                                            
US12769G1004,CZR         ,시저스 엔터테인먼트                                                  ,Caesars Entertai                                            
US23344D1081,DADA        ,Dada Nexus                                                  ,Dada Nexus                                                  
US2342641097,DAKT        ,닥트로닉스                                                       ,Daktronics                                                  
US2350501019,DALN        ,Dallasnews                                                  ,Dallasnews                                                  
US23666P1012,DARE        ,데어 바이오사이언스                                                  ,Dare Bioscience                                             
US23816M1071,DATS        ,DatChat                                                     ,DatChat                                                     
US23834J2015,DAVE        ,Dave                                                        ,Dave                                                        
US23954D1090,DAWN        ,Day One Biopharm                                            ,Day One Biopharm                                            
US25401N4088,DBGI        ,Dig Brands Grp                                              ,Dig Brands Grp                                              
US24343R1068,DBTX        ,Decibel Therapeu                                            ,Decibel Therapeu                                            
US23306J1016,DBVT        ,DBV 테크놀로지스                                                  ,DBV Tech                                                    
US26210C1045,DBX         ,드롭박스                                                        ,Dropbox                                                     
CA25609L1058,DCBO        ,Docebo                                                      ,Docebo                                                      
AU0000205205,DCFC        ,Tritium Dcfc                                                ,Tritium Dcfc                                                
US2560861096,DCGO        ,Docgo                                                       ,Docgo                                                       
US25432X1028,DCOM        ,Dime                                                        ,Dime                                                        
US25432X2018,DCOMP       ,DIME COMMUNITY BNSH CUM PE SRS A PRF                        ,DIME COMMUNITY BNSH CUM PE SRS A PRF                        
US24344T1016,DCPH        ,Deciphera Pharms                                            ,Deciphera Pharms                                            
US24661P8077,DCTH        ,Delcath Systems                                             ,Delcath Systems                                             
US23804L1035,DDOG        ,Datadog                                                     ,Datadog                                                     
US24869P1049,DENN        ,데니스                                                         ,Dennys                                                      
US48115J1097,DERM        ,Journey Medical                                             ,Journey Medical                                             
US26145B1061,DFLI        ,Dragonfly Energy                                            ,Dragonfly Energy                                            
CA25381D2068,DGHI        ,Digihost Tech                                               ,Digihost Tech                                               
US2577012014,DGICA       ,도니골 그룹                                                      ,Donegal Group                                               
US2537981027,DGII        ,디지 인터내셔널                                                    ,Digi Intl                                                   
US25382T2006,DGLY        ,Digital Ally                                                ,Digital Ally                                                
US24477E1038,DH          ,Definitive Hlth                                             ,Definitive Hlth                                             
US25525P1075,DHC         ,Dvrsfd Hlthcr                                               ,Dvrsfd Hlthcr                                               
US25525P2065,DHCNI       ,DIVERSIFIED HEALTHCARE 5 625 SNR NTS                        ,DIVERSIFIED HEALTHCARE 5 625 SNR NTS                        
US25525P3055,DHCNL       ,DIVERSIFIED HEALTHCARE 6 25 SNR NTS                         ,DIVERSIFIED HEALTHCARE 6 25 SNR NTS                         
US25264R2076,DHIL        ,다이아몬드 힐 인베스트먼트 그룹                                           ,Diamond Hill                                                
US3205511047,DIBS        ,"1stdibs.Com                                                 ","1stdibs.Com                                                 "
US2545431015,DIOD        ,다이오즈                                                        ,Diodes                                                      
US25470M1099,DISH        ,디시 네트워크                                                     ,DISH Network                                                
US26142V1052,DKNG        ,DraftKings                                                  ,DraftKings                                                  
KYG290181018,DLO         ,Dlocal                                                      ,Dlocal                                                      
US25686H2094,DLPN        ,Dolphin                                                     ,Dolphin                                                     
US26443V1017,DLTH        ,덜루스 홀딩스                                                     ,Duluth Holdings                                             
US2567461080,DLTR        ,달러 트리                                                       ,Dollar Tree                                                 
CA25253X2077,DMAC        ,다이아메디카 세러퓨틱스                                                ,DiaMedica                                                   
US25820R1059,DMLP        ,도체스터 미네랄스                                                   ,Dorchester Minrl                                            
US24984K1051,DMTK        ,Constellation                                               ,DermTech                                                    
US24823R1059,DNLI        ,Denali Therapeutics Inc.                                    ,Denali                                                      
US50101L1061,DNUT        ,Krispy Kreme                                                ,Krispy Kreme                                                
US2561631068,DOCU        ,도큐사인                                                        ,DocuSign                                                    
VGG2788T1030,DOGZ        ,Dogness                                                     ,Dogness Intl                                                
US0088753043,DOMH        ,Dominari Hldg                                               ,Dominari Hldg                                               
US2575541055,DOMO        ,"Domo, Inc.                                                  ",Domo                                                        
CA05577W2004,DOOO        ,BRP/캐나다                                                     ,BRP                                                         
US2582781009,DORM        ,도먼 프로덕츠                                                     ,Dorman Products                                             
GB0022569080,DOX         ,암독스                                                         ,Amdocs                                                      
US25985W1053,DOYU        ,Douyu Intl Hldg                                             ,Douyu Intl Hldg                                             
CA26142Q2053,DPRO        ,Draganfly                                                   ,Draganfly                                                   
US25461T1051,DRCT        ,Direct Digital                                              ,Direct Digital                                              
US23725P2092,DRIO        ,랩스타일 이노베이션스                                                 ,DarioHealth                                                 
US2498453065,DRMA        ,Dermata                                                     ,Dermata                                                     
US2666055007,DRRX        ,DURECT                                                      ,DURECT                                                      
US52661A1088,DRS         ,Leonardo DRS                                                ,Leonardo DRS                                                
IL0011839383,DRTS        ,Alpha Tau                                                   ,Alpha Tau                                                   
CA25490H1064,DRTT        ,DIRTT                                                       ,DIRTT                                                       
CA10919W4056,DRUG        ,Bright Minds Bio                                            ,Bright Minds Bio                                            
US26210V1026,DRVN        ,Driven Brands Hl                                            ,Driven Brands Hl                                            
US25056L1035,DSGN        ,Design Therapeut                                            ,Design Therapeut                                            
US5207761058,DSGR        ,Distribution                                                ,Distribution                                                
US23753F1075,DSKE        ,다세케                                                         ,Daseke                                                      
US92557A1016,DSP         ,Viant Technology                                            ,Viant Technology                                            
US74019P1084,DTIL        ,Precision                                                   ,Precision                                                   
US2381162062,DTSS        ,Datasea Inc.                                                ,Datasea                                                     
US23786R2013,DTST        ,Data Storage                                                ,Data Storage                                                
US30712L3078,DUO         ,Fangdd Ntwrk Grp                                            ,Fangdd Ntwrk Grp                                            
US26603R1068,DUOL        ,Duolingo                                                    ,Duolingo                                                    
US2660424076,DUOT        ,Duos Tech Grp                                               ,Duos Tech Grp                                               
US2681582019,DVAX        ,다이나백스 테크놀로지스                                                ,Dynavax Techs                                               
US25400Q1058,DWAC        ,Digital World                                               ,Digital World                                               
US2521311074,DXCM        ,Dexcom                                                      ,Dexcom                                                      
US25065K1043,DXLG        ,Destinatn XL Grp                                            ,Destinatn XL Grp                                            
US2333774071,DXPE        ,DXP 엔터프라이지스 오브 텍사스                                          ,DXP Enterprises                                             
US26745T1016,DYAI        ,Dyadic                                                      ,Dyadic                                                      
US26818M1080,DYN         ,Dyne                                                        ,Dyne Therapeutic                                            
US2681575005,DYNT        ,Dynatronics                                                 ,Dynatronics                                                 
US2682111099,DZSI        ,DASAN Zhone Solutions Inc.                                  ,DZS US                                                      
US2855121099,EA          ,일렉트로닉 아츠                                                    ,Electronic Arts                                             
US2700872086,EAR         ,Eargo                                                       ,Eargo                                                       
US2778024016,EAST        ,Eastside                                                    ,Eastside                                                    
US2786421030,EBAY        ,이베이                                                         ,eBay                                                        
US27627N1054,EBC         ,Eastern                                                     ,Eastern                                                     
US2787001096,EBET        ,Ebet                                                        ,Ebet                                                        
US2787152063,EBIX        ,에빅스                                                         ,Ebix                                                        
KYG3R33A2053,EBON        ,Ebang Intl Hldg                                             ,Ebang Intl Hldg                                             
US2936681095,EBTC        ,엔터프라이즈 뱅코프                                                  ,Enterprise Bncp                                             
US26828M1062,ECBK        ,ECB Bancorp                                                 ,ECB Bancorp                                                 
US28531P2020,ECOR        ,electroCore                                                 ,electroCore                                                 
US2925541029,ECPG        ,앙코어 캐피털 그룹                                                  ,Encore Cap Grp                                              
KYG292011031,ECX         ,Ecarx Holdings                                              ,Ecarx Holdings                                              
US2683111072,EDAP        ,EDAP TMS                                                    ,Edap Tms                                                    
US28059P2048,EDBL        ,Edible Garden                                               ,Edible Garden                                               
US28106W1036,EDIT        ,에디타스 메디신                                                    ,Editas Medicine                                             
MHY235081079,EDRY        ,EuroDry Ltd.                                                ,EuroDry                                                     
CA27966L1085,EDSA        ,Stellar                                                     ,Edesa Biotech                                               
KYG8211A1085,EDTK        ,Skillful Craftsm                                            ,Skillful                                                    
US2814791057,EDUC        ,에듀케이셔널 디벨롭먼트                                                ,Educational Dev                                             
US2987361092,EEFT        ,유로넷 월드와이드                                                   ,Euronet Worldwid                                            
US2937121059,EFSC        ,엔터프라이즈 파이낸셜 서비시스                                            ,Enterpr Finl Svc                                            
US28202V1089,EFTR        ,Effector                                                    ,Effector                                                    
US28225C8064,EGAN        ,이게인                                                         ,eGain                                                       
US2829141009,EGHT        ,"8x8                                                         ","8x8                                                         "
US53261M1045,EGIO        ,Edgio                                                       ,Edgio                                                       
CA29385B1094,EGLX        ,Enthusiast                                                  ,Enthusiast                                                  
US26853E1029,EH          ,EHang Holdings                                              ,EHang Holdings                                              
US28238P1093,EHTH        ,이헬스                                                         ,eHealth                                                     
US28249U1051,EIGR        ,아이거 바이오파마수티컬스                                               ,Eiger                                                       
KYG2952X2033,EJH         ,E-Home Household                                            ,E-Home Household                                            
US2826443010,EKSO        ,Ekso Bionics                                                ,Ekso Bionics                                                
CA28474P2017,ELBM        ,Electra Battery                                             ,Electra Battery                                             
US28617K1016,ELDN        ,Eledon Pharma                                               ,Eledon Pharma                                               
US28623U1016,ELEV        ,Elevation                                                   ,Elevation                                                   
US29014R2022,ELOX        ,Eloxx Pharms                                                ,Eloxx Pharms                                                
US29337E1029,ELVN        ,Enliven                                                     ,Enliven                                                     
US2907341026,ELYS        ,Newgioco Group                                              ,Elys Game Tech                                              
US83193E1029,EM          ,Smart Share Glo                                             ,Smart Share Glo                                             
US29082K1051,EMBC        ,Embecta                                                     ,Embecta                                                     
US2908462037,EMKR        ,엠코어                                                         ,EMCORE                                                      
US2933061069,ENG         ,EN글로벌                                                       ,ENGlobal                                                    
IL0011319527,ENLV        ,Bioblast Pharma                                             ,Enlivex                                                     
US29355A1079,ENPH        ,인페이즈 에너지                                                    ,Enphase Energy                                              
US2936024056,ENSC        ,Ensysce                                                     ,Ensysce                                                     
US29358P1012,ENSG        ,엔선 그룹                                                       ,Ensign Group                                                
US29251M1062,ENTA        ,에난타 파마수티컬스                                                  ,Enanta Pharma                                               
US29362U1043,ENTG        ,인테그리스                                                       ,Entegris                                                    
IL0011429839,ENTX        ,Entera Bio Ltd                                              ,Entera                                                      
US29405E2081,ENVB        ,Enveric Bioscien                                            ,Enveric Bioscien                                            
US2935941078,ENVX        ,Enovix                                                      ,Enovix                                                      
US30052C1071,EOLS        ,"Evolus, Inc.                                                ",Evolus                                                      
US29415C1018,EOSE        ,B Riley Principa                                            ,Eos Energy                                                  
CA29668H7085,EPIX        ,에사 파마                                                       ,ESSA Pharma                                                 
KYG3932F1063,EPOW        ,Sunrise New                                                 ,Sunrise New                                                 
CA2943752097,EPSN        ,Epsilon Energy                                              ,Epsilon Energy                                              
US29446K1060,EQ          ,"Equillium, Inc.                                             ",Equillium                                                   
US29444U7000,EQIX        ,이퀴닉스                                                        ,Equinix                                                     
US26886C1071,EQRX        ,Eqrx                                                        ,Eqrx                                                        
US29479A1088,ERAS        ,Erasca                                                      ,Erasca                                                      
US2948216088,ERIC        ,텔레폰악티에볼라예트 LM 에릭슨                                           ,Ericsson                                                    
US29530P1021,ERIE        ,이리 인뎀니티                                                     ,Erie Indemnity                                              
US29270J1007,ERII        ,에너지 리커버리                                                    ,Energy Recovery                                             
MHY235921357,ESEA        ,Euroseas                                                    ,Euroseas                                                    
BMG3075P1014,ESGR        ,엔스타 그룹                                                      ,Enstar Group                                                
US29359U2087,ESGRO       ,엔스타 그룹(ESGR 7 PERP)                                         ,Enstar Group                                                
US29359U1097,ESGRP       ,엔스타 그룹(ESGR 7 PERP)                                         ,Enstar Group                                                
IL0010811243,ESLT        ,엘빗 시스템스                                                     ,Elbit Systems                                               
US29271Q1031,ESOA        ,Energy Ser                                                  ,Energy Ser                                                  
US29664W1053,ESPR        ,에스페리언 세러퓨틱스                                                 ,Esperion Thera                                              
US29667J1016,ESQ         ,"Esquire Financial Holdings, Inc.                            ",Esquire Fincl                                               
US29667D1046,ESSA        ,ESSA 뱅코프                                                    ,ESSA Bancorp                                                
VGG312491084,ESTA        ,Establishment Labs Holdings Inc.                            ,Establishment                                               
US2825591033,ETNB        ,"89bio                                                       ","89bio                                                       "
US29772L1089,ETON        ,"Eton Pharmaceuticals, Inc.                                  ",Eton Pharms                                                 
US29786A1060,ETSY        ,엣시                                                          ,ETSY                                                        
VGG3142E1051,EUDA        ,EUDA Hlth Hldg                                              ,EUDA Hlth Hldg                                              
US29970R1059,EVAX        ,Evaxion Biotech                                             ,Evaxion Biotech                                             
US29978A1043,EVBG        ,에버브리지                                                       ,Everbridge                                                  
US29977X1054,EVCM        ,Evercommerce                                                ,Evercommerce                                                
US30041R1086,EVER        ,"EverQuote, Inc.                                             ",EverQuote                                                   
IL0011050551,EVGN        ,애보진                                                         ,Evogene                                                     
US30052F1003,EVGO        ,EVgo                                                        ,EVgo                                                        
US2997342025,EVLO        ,Evelo                                                       ,Evelo                                                       
US30049H1023,EVLV        ,Evolv Tech Hldg                                             ,Evolv Tech Hldg                                             
US30050E1055,EVO         ,Evotec                                                      ,Evotec                                                      
US30049G2030,EVOK        ,에보크 파마                                                      ,Evoke Pharma                                                
US30034W1062,EVRG        ,Evergy                                                      ,Evergy                                                      
US29414V2097,EVTV        ,Envirotech                                                  ,Envirotech                                                  
US27579R1041,EWBC        ,이스트 웨스트 뱅코프                                                 ,East West Bancp                                             
US29882P1066,EWCZ        ,Euro Wax Cntr                                               ,Euro Wax Cntr                                               
US28036F1057,EWTX        ,Edgewise Therape                                            ,Edgewise Therape                                            
US30223G1022,EXAI        ,Exscientia                                                  ,Exscientia                                                  
US30063P1057,EXAS        ,이그젝트 사이언시스                                                  ,EXACT Sci                                                   
US30161N1019,EXC         ,Exelon                                                      ,Exelon                                                      
US30161Q1040,EXEL        ,엑셀릭시스                                                       ,Exelixis                                                    
US30219Q1067,EXFY        ,EXPENSIFY                                                   ,EXPENSIFY                                                   
US3020811044,EXLS        ,엑슬서비스 홀딩스                                                   ,ExlService                                                  
US3021301094,EXPD        ,익스피다이터스                                                     ,Expeditors                                                  
US30212P3038,EXPE        ,익스피디아 그룹                                                    ,expedia group                                               
US30212W1009,EXPI        ,"eXp World Holdings, Inc.                                    ",eXp World                                                   
US30214U1025,EXPO        ,엑스포넌트                                                       ,Exponent                                                    
US30226D1063,EXTR        ,익스트림 네트웍스                                                   ,Extreme Networks                                            
US63845R1077,EYE         ,"National Vision Holdings, Inc.                              ",National Vision                                             
US30234E1047,EYEN        ,"Eyenovia, Inc.                                              ",Eyenovia                                                    
US30233G2093,EYPT        ,EyePoint                                                    ,EyePoint                                                    
US3023143072,EZFL        ,Ezfill Holdings                                             ,Ezfill Holdings                                             
VGG5279F1027,EZGO        ,Ezgo Tech                                                   ,Ezgo Tech                                                   
US3023011063,EZPW        ,이즈코프                                                        ,EZCORP                                                      
US31846B1089,FA          ,First Advantage                                             ,First Advantage                                             
KYG332771230,FAMI        ,Farmmi                                                      ,Farmmi                                                      
US25278X1090,FANG        ,다이아몬드백 에너지                                                  ,Diamondback                                                 
US30712A1034,FANH        ,판화                                                          ,Fanhua                                                      
